台灣免翻,#genre#
東森綜合2,http://iptv.4666888.xyz/iptv2A.php?id=58
八度空間,http://iptv.4666888.xyz/iptv2A.php?id=52
韓流美食料理秀,http://iptv.4666888.xyz/iptv2A.php?id=63
娛樂百分百,http://iptv.4666888.xyz/iptv2A.php?id=64
綜藝大贏家,http://iptv.4666888.xyz/iptv2A.php?id=65

民視新聞,http://211.72.174.95:8117/0.ts$原生解碼最佳
中視,http://211.72.174.95:8113/0.ts$原生解碼最佳
華視,http://211.72.174.95:8114/0.ts$原生解碼最佳
公視,http://211.72.174.95:8116/0.ts$原生解碼最佳
民視,http://211.72.174.95:8115/0.ts$原生解碼最佳
台視,http://211.72.174.95:8112/0.ts$原生解碼最佳

民視新聞,http://74.91.26.218:82/live/ftvnews.m3u8
台視新聞,http://74.91.26.218:82/live/ttvnews.m3u8
中視新聞,http://74.91.26.218:82/live/ctvnews.m3u8
華視新聞,http://74.91.26.218:82/live/ctsnews.m3u8
民視第一,http://74.91.26.218:82/live/ftvdy.m3u8
民視臺灣,http://74.91.26.218:82/live/ftvtw.m3u8
中視經典,http://74.91.26.218:82/live/ctvjd.m3u8
中視菁采,http://74.91.26.218:82/live/ctvjc.m3u8
台視綜合,http://74.91.26.218:82/live/ttvzh.m3u8
小公視,http://74.91.26.218:82/live/ptsse.m3u8
華視體育,http://74.91.26.218:82/live/ctsjy.m3u8
公視台語,http://74.91.26.218:82/live/ptsty.m3u8
東森綜合,http://111.59.139.82:8181/tsfile/live/1213_1.m3u8?key=txiptv&playlive=1&authid=0

東森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
東森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
東森超視,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
華語台,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
東森超視,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
東森超視,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8

三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
中天娛樂,http://61.221.215.25:8800/hls/47/index.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
生命電視,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8

NOW 70s,https://php.946985.filegear-sg.me/mytv265.php?id=NOW7
NOW 80s,https://php.946985.filegear-sg.me/mytv265.php?id=NOW8
NOW ROCK,https://php.946985.filegear-sg.me/mytv265.php?id=NOWR
NOW 90s00s,https://php.946985.filegear-sg.me/mytv265.php?id=NOW9
Concerto,https://php.946985.filegear-sg.me/mytv265.php?id=CONC
TRACEURBAN,https://php.946985.filegear-sg.me/mytv265.php?id=TRUR
NewsWorld,https://php.946985.filegear-sg.me/mytv265.php?id=NSWD
Taiwan+,https://fastly.live.brightcove.com/6385235869112/ap-northeast-1/6282251407001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoiaWU4OWZvLmVncmVzcy5pdjNqZDgiLCJhY2NvdW50X2lkIjoiNjI4MjI1MTQwNzAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyI2MjgyMjUxNDA3MDAxIl0sImp0aSI6IjYzODUyMzU4NjkxMTIifQ.4c-V1Ks3nBx9nRljtn5-jCNP_nLuWBbk-pw9BFWZfMQ/playlist-hls.m3u8
新唐人,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
Love Nature,http://tl.061833.xyz/tl/lovenaturehd
Wild TV,https://dfhsahpa45kk2.cloudfront.net/scheduler/scheduleMaster/476.m3u8
動物星球,http://111.59.139.82:8181/tsfile/live/1212_1.m3u8?key=txiptv&playlive=1&authid=0失效
Discovery,http://111.59.139.82:8181/tsfile/live/1218_1.m3u8?key=txiptv&playlive=1&authid=0失效
BBC EARTH,https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist540p.m3u8
人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
生命電視,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
唯心電視,https://5ddce30eb4b55.streamlock.net/wxtv/wxtvnow.stream/playlist.m3u8 
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8

🇭🇰港澳,#genre#

無線新聞台,http://67.220.71.199:2347/livehttpplay?channel_id=20123
無線新聞台,http://67.220.71.199:2347/livehttpplay?channel_id=30024
無線新聞台,http://r.jdshipin.com/CkuBd
翡翠台,http://r.jdshipin.com/qClQf
華麗翡翠台,http://r.jdshipin.com/thuYX
TVB Plus,http://r.jdshipin.com/Nr5jq
澳視澳門,http://r.jdshipin.com/n2YZI
明珠台,http://67.220.71.199:2347/livehttpplay?channel_id=30026
TVB星河,http://r.jdshipin.com/Voac4
廣東珠江,http://r.jdshipin.com/sE5vO
廣東體育,http://r.jdshipin.com/LiYdg
鳳凰中文,http://r.jdshipin.com/cCCzW
鳳凰資訊,http://r.jdshipin.com/0Rp07
鳳凰香港,http://r.jdshipin.com/yDoTN
鳳凰香港,http://r.jdshipin.com/NfC0f
環球電視頻道,http://utv1.hqtvzb.com:9999/hls/world.m3u8
重溫經典頻道,http://m.061899.xyz/mg/cwjd
TVB無線新聞,http://r.jdshipin.com/CkuBd
TVB華麗翡翠,https://o11.163189.xyz/stream/live/hlt/
TVB華麗翡翠新加坡,https://o11.163189.xyz/stream/live/jade/
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB+,https://o11.163189.xyz/stream/tvb/tvbp/
天映,https://o11.163189.xyz/stream/live/typd/
天映經典,https://o11.163189.xyz/stream/live/ccm/
TVB星河,http://r.jdshipin.com/Voac4
TVBPlus,http://r.jdshipin.com/Nr5jq
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/GeWKr
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
鳳凰香港,http://r.jdshipin.com/yDoTN
鳳凰中文,http://r.jdshipin.com/cCCzW
鳳凰資訊,http://r.jdshipin.com/0Rp07
龍華電影,https://cdn8.163189.xyz/163189/lhdy
龍華電影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龍華經典,https://cdn8.163189.xyz/163189/lhjd
龍華經典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龍華卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龍華偶像,https://cdn8.163189.xyz/163189/lhox
龍華偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龍華日韓,https://cdn8.163189.xyz/163189/lhrh
龍華日韓,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龍華戲劇,https://cdn8.163189.xyz/163189/lhxj
龍華洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8

Plus綜合http://67.220.71.199:2347/livehttpplay?channel_id=30023
鳳凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
鳳凰資訊,http://rihou.cc:555/tv/[Pd]凤凰资讯
鳳凰香港,http://rihou.cc:555/tv/[Pd]凤凰香港
有線新聞,http://rihou.cc:555/tv/[Pd]有线新闻
有線綜合,http://rihou.cc:555/tv/[Pd]有线综合
有線亞劇,http://rihou.cc:555/tv/[Pd]有线亚剧
無線新聞,http://rihou.cc:555/tv/[Pd]无线新闻
無線翡翠,http://rihou.cc:555/tv/[Pd]无线翡翠
無線翡翠4Ktv,http://rihou.cc:555/tv/[Pd]无线翡4K
無線華麗,http://rihou.cc:555/tv/[Pd]无线华丽
無線明珠,http://rihou.cc:555/tv/[Pd]无线明珠
無線星河,http://rihou.cc:555/tv/[Pd]无线星河
無線功夫,http://rihou.cc:555/tv/[Pd]无线功夫
澳視澳門,http://rihou.cc:555/tv/[Pd]澳视澳门
澳視衛星,http://rihou.cc:555/tv/[Pd]澳视卫星
澳門體育,http://rihou.cc:555/tv/[Pd]澳门体育
澳門綜藝,http://rihou.cc:555/tv/[Pd]澳门综艺
澳門蓮花,http://rihou.cc:555/tv/[Pd]澳门莲花
央視綜合,http://rihou.cc:555/tv/[Pd]央视综合
重温经典,http://rihou.cc:555/tv/[Pd]重温经典
龍華電影,http://rihou.cc:555/tv/[Pd]龙华电影
龍華經典,http://rihou.cc:555/tv/[Pd]龙华经典
龍華偶像,http://rihou.cc:555/tv/[Pd]龙华偶像
龍華日韓,http://rihou.cc:555/tv/[Pd]龙华日韩
龍華戲劇,http://rihou.cc:555/tv/[Pd]龙华戏剧
CHU綜合,http://rihou.cc:555/tv/[Pd]CHU综合
CH5綜合,http://rihou.cc:555/tv/[Pd]CH5综合
CH8綜合,http://rihou.cc:555/tv/[Pd]CH8综合
八度空間,http://rihou.cc:555/tv/[Pd]八度空间

翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fct
翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fct2
明珠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=mzt
明珠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=mzt2
TVB J1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=j1
TVB Plus,https://php.jdshipin.com:2096/TVOD/iptv.php?id=j2
TVB Plus,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbp
無線新聞,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbxw
無線新聞,https://php.jdshipin.com:2096/TVOD/iptv.php?id=wxxwt
VIUTV,https://php.jdshipin.com:2096/TVOD/iptv.php?id=viutv
VIUTV,https://php.jdshipin.com:2096/TVOD/iptv.php?id=viutv2
HOY TV,https://php.jdshipin.com:2096/TVOD/iptv.php?id=hoytv
HOY TV,https://php.jdshipin.com:2096/TVOD/iptv.php?id=hoytv2
HOY資訊台,http://cdn.163189.xyz/163189/hoy78
HOY劇集台,http://cdn.163189.xyz/163189/hoyjj
鳳凰中文,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhzw
鳳凰中文,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhzw2
鳳凰資訊,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhzx
鳳凰資訊,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhzx2
鳳凰香港,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhhk
鳳凰香港,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhhk2
美亞電影,https://php.jdshipin.com:2096/TVOD/iptv.php?id=meiya
重溫經典,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cwjd
廣東珠江,https://php.jdshipin.com:2096/TVOD/iptv.php?id=gdzj
廣東體育,https://php.jdshipin.com:2096/TVOD/iptv.php?id=gdty
澳視澳門,https://php.jdshipin.com:2096/TVOD/iptv.php?id=asam
澳視衛星,https://php.jdshipin.com:2096/TVOD/iptv.php?id=as
澳門體育,http://cdn6.163189.xyz/163189/amty
澳門綜藝,http://cdn6.163189.xyz/163189/amzy
澳門蓮花,http://cdn6.163189.xyz/163189/amlh
RTHK31,https://php.jdshipin.com:2096/TVOD/iptv.php?id=rthk31
RTHK32,https://php.jdshipin.com:2096/TVOD/iptv.php?id=rthk32
CCTV1港澳版,https://php.jdshipin.com:2096/TVOD/iptv.php?id=rthk33
八度空間,http://cdn6.163189.xyz/163189/8tv
CH5綜合,http://cdn6.163189.xyz/163189/ch5
CH8綜合,http://cdn6.163189.xyz/163189/ch8
CHU綜合,http://cdn6.163189.xyz/163189/chu
龍華電影,http://cdn8.163189.xyz/163189/lhdy
龍華經典,http://cdn8.163189.xyz/163189/lhjd
龍華偶像,http://cdn8.163189.xyz/163189/lhox
龍華日韓,http://cdn8.163189.xyz/163189/lhrh
龍華戲劇,http://cdn8.163189.xyz/163189/lhxj
華麗翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=huali
TVB星河,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbxh
千禧經典台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbc
Astro AOD,https://php.jdshipin.com:2096/TVOD/iptv.php?id=aod
華麗翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=huali2
亞洲武俠,https://php.jdshipin.com:2096/TVOD/iptv.php?id=yzwx
TVB生活台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbsh
TVB娛樂新聞台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbylxw
無線新聞台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=wxxw
TVB星河,https://php.jdshipin.com:2096/TVOD/iptv.php?id=xinghe
NOW新聞台,https://cdn.163189.xyz/163189/now
翡翠台4K,https://cdn6.163189.xyz/163189/fct4k
翡翠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
翡翠劇集台,https://6.cdn.loc.cc/163189.php?id=tvbd
CCTV13,http://cdn3.163189.xyz/163189/cctv13
第一財經,http://cdn3.163189.xyz/163189/dycj
五星體育,http://cdn3.163189.xyz/163189/wxty
海峽衛視,http://cdn3.163189.xyz/163189/hxws
TVB星河國語,https://cdn10.163189.xyz/stream/163189/xinghe/
天映頻道(新加坡),https://cdn10.163189.xyz/stream/163189/typd/
天映經典,https://cdn10.163189.xyz/stream/163189/ccm/


==================================================
🇹🇼體育競技,#genre#
SPOTV,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV2,http://iptv.4666888.xyz/iptv2A.php?id=1
astroFootball,http://iptv.4666888.xyz/iptv2A.php?id=4
TntSports1,http://iptv.4666888.xyz/iptv2A.php?id=3
智林體育,http://iptv.4666888.xyz/iptv2A.php?id=5
JSPORTS1,http://iptv.4666888.xyz/iptv2A.php?id=6
SkyTennis+,http://iptv.4666888.xyz/iptv2A.php?id=62


咪1,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=m
咪2,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=m
咪3,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=m
咪4,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=m
咪5,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=m
咪6,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=m
咪7,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=m
咪8,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=m
咪9,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=m
咪10,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000001000031494&livemode=1&stbId=m
咪11,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000000097&livemode=1&stbId=m
咪12,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000002019&livemode=1&stbId=m
咪13,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000002809&livemode=1&stbId=m
咪14,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000003915&livemode=1&stbId=m
咪15,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000004193&livemode=1&stbId=m
咪世界4K,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=m
咪16,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000011297&livemode=1&stbId=m
咪17,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000012558&livemode=1&stbId=m
咪18,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000012616&livemode=1&stbId=m
至臻4K,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=m
咪19,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000019839&livemode=1&stbId=m
咪20,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=m
咪21,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000023434&livemode=1&stbId=m
咪22,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000025380&livemode=1&stbId=m
咪23,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000027691&livemode=1&stbId=m
咪24,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000031669&livemode=1&stbId=m
咪26,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011518&livemode=1&stbId=m
咪28,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011519&livemode=1&stbId=m
咪27,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011520&livemode=1&stbId=m
咪25,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011521&livemode=1&stbId=m

🇹🇼電影戲劇,#genre#
HBO,http://220.134.196.147:9520/http/60.251.39.91:8081/hls/71/813/ch41.m3u8
HBO亞洲,http://220.134.196.147:9520/http/61.221.81.94:8081/hls/71/813/ch41.m3u8

CHC家庭影院,https://yzrrjzxvnvgl.ap-northeast-1.clawcloudrun.com/CC.php?url=3e9edb18b972cc572fdff720e80db23fcba980941bd4df0da8f2f1f6b2844888a557d0adb4fa823b0cbc1097097d3d8e8f512393b811a67e69a015fa181471831c371d403b27653412e6890d1585c5c7bcdaf716d162fdd7ab1ad5b63935cb93281759ddf73ecf347bfbd451ea5056d5
CHC動作電影,https://yzrrjzxvnvgl.ap-northeast-1.clawcloudrun.com/CC.php?url=4bb66112fdf07939f4b3ea31e35de5727fe4b9fe97e3c393b31995a51522d24062548b9d3e79f5fc37bea5fce8b567119e06ee9ef2ffd6dc5c11187b53111d1fca5de39311a7033dc9f149ba872618e95703f588b5c8f545b1a2b82d1e89715226c3e7257b56f99fa5a18c9242e9d50a
CHC影迷電影,https://yzrrjzxvnvgl.ap-northeast-1.clawcloudrun.com/CC.php?url=b62a033b7bee5dc6e1895a8864531f84a1622e57e21826fa5a111824fb87f0dbcf608b07afb8150db181f645ac2ca48b3e56aacb446432918aaad70551e4010bee8259cd958f2ada577660575690369d319b2010a7d4a0ca1cdc507ae53c8ab86a8143f58ec8cb21ac83f0384fc7c1f7
CHC家庭影院,http://61.184.46.85:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
CHC動作電影,http://61.184.46.85:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信

🇹🇼兒童卡通,#genre#
梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40
Duck TV兒童卡通,http://iptv.4666888.xyz/iptv2A.php?id=39
MOMO親子,http://iptv.4666888.xyz/iptv2A.php?id=49
金光布袋戲,http://iptv.4666888.xyz/iptv2A.php?id=38

東森YOYO台,http://211.23.114.106:8551/http/116.50.42.19:8078/hls/43/80/bloomber.m3u8

金鹰卡通,http://8.138.7.223/tv/mgtv.php?id=287
金鹰卡通,http://183.237.95.108:9901/tsfile/live/1099_1.m3u8?key=txiptv&playlive=0&authid=0
动漫秀场,http://183.237.95.108:9901/tsfile/live/1104_1.m3u8?key=txiptv&playlive=0&authid=0
动漫秀场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=dmxchd&apiKey=73c963d13814ce7d0e4743c5e7d033cc
浙江少儿,http://ali-vl.cztv.com/channels/lantian/channel008/360p.m3u8
海南少儿,http://nn.7x9d.cn/地方台8563/海南.php?id=sepd
喜羊羊与灰太狼,https://isus.cc/php/huya.php?id=23865080
开心锤锤动漫,http://222.186.39.21:35466/douyu/9018297
茶啊二中,http://222.186.39.21:35466/douyu/2925610


台灣電台FM,#genre#
923魅力亞太AsiaFM亞太電台,https://n04a-eu.rcs.revma.com/kydend74hv8uv?rj-ttl=5&rj-tok=AAABk3-PFmIANQOl8U4dGJCCgQ
927魅力亞洲AsiaFM亞洲電台,https://n02a-eu.rcs.revma.com/xpgtqc74hv8uv?rj-ttl=5&rj-tok=AAABk3-DGv0AIdOP5OI3uapVnA
AI台粵廣播電台,https://n27a-eu.rcs.revma.com/h4ta80hbqwuvv?rj-ttl=5&rj-tok=AAABk3-xktMA5rXeWEpOIWNGvQ
BaoDaoRadio寶島新聲FM98.5,http://125.227.87.206:8000/FM98.5
BaoDaoRadio大千電台FM99.1,http://125.227.87.206:8000/FM99.1
BeamFM-AdultHitsTaiwan,https://ice1.streeemer.com:8020/radio.aac
BeamFM-Taiwan,https://ice1.streeemer.com:8030/radio.aac
BigBigMIX（TW）,https://play.gojoy.org/audio/stream
FM94.3音樂伸展台,https://n21a-eu.rcs.revma.com/pet2dvug1bkvv/33_c0sv6gbkebrj02/playlist.m3u8?rj-ttl=5&rj-tok=AAABk3-WWG8A-pyunz3vCe6Uzg
iCRT,https://n10a-eu.rcs.revma.com/nkdfurztxp3vv?rj-tok=AAABk39_mbEALVg2VBtyNfsMOw&rj-ttl=5
